Language,source,preverb,meaning,comments
Agul,magometov1970,,spatial preverbs,
Agul,magometov1970,č(-),in combination with spatial preverbs,
Agul,magometov1970,q(-),repetitive,
Agul,magometov1970,,opposite meaning (противоположное значение),
Agul,magometov1970,j- ,down,
Agul,magometov1970,ɣ(-),up,
Agul,maisak2016,ʔ-,IN ‘inside a container,
Agul,maisak2016,ʕ- ,"INTER ‘inside liquid or substance’,",
Agul,maisak2016,h- ,ANTE ‘in front of a ground’,
Agul,maisak2016,q- ,POST ‘behind a ground,
Agul,maisak2016,f- ,APUD ‘near a ground’,
Agul,maisak2016,al- ,SUPER ‘on the horizontal surface’,
Agul,maisak2016,k-,SUB/CONT ‘below’/‘attached to a ground’.,
Agul,maisak2016,-č- || -ča- ,LAT (lative) ‘,
Agul,maisak2016,-atː,ELAT (elative) 'motion from',
Agul,maisak2016,-ʁ- || ʁa-,UP ‘motion up’,
Agul,maisak2016,-a- || -da- ,DOWN ‘motion down’.,
Agul,maisak2016,q- ,repetitive,
Armenian,dum-tragut2009,ap(a)-,antonimous meaning,
Armenian,dum-tragut2009,ger-,"“super-, more than, special”.",
Armenian,dum-tragut2009,bał- ,"“co-, together”",
Armenian,dum-tragut2009,hak- ,"“contra-, anti-”,",
Armenian,dum-tragut2009,heł- ,"“contra-, contrary, inverse”,",
Armenian,dum-tragut2009,"dem-, dim- ",“against”,
Armenian,dum-tragut2009, tar- ,"“different (from); foreign; extra-”,",
Armenian,dum-tragut2009,tram- ,"“other, part of, partly, dia-”",
Armenian,dum-tragut2009,p’ox- ,"“trans-; reverse, back; inter-; vice-”",
Armenian,dum-tragut2009,andr- ,"“trans-; ultra-, over-; re-; other, other side”",
Armenian,dum-tragut2009,ar̊-,"“to, by, near, close to”,",
Armenian,dum-tragut2009,art-,"“outside, out-”,",
Armenian,dum-tragut2009,bac’-,"“ex-, extra-, far, away, apart from”",
Armenian,dum-tragut2009,ent’- ,"“sub-”,",
Armenian,dum-tragut2009,ěnd- ,"“in-; inter-; with”,",
Armenian,dum-tragut2009,har-,"“near, close to; co-; joint “,",
Armenian,dum-tragut2009,mak- ,"“sur-”,",
Armenian,dum-tragut2009,"mej-, mij- ","“in, inter-; middle of; between”,",
Armenian,dum-tragut2009,ner- ,"“in, inside of ”,",
Armenian,dum-tragut2009,stor- ,"“sub-, under-, below”,",
Armenian,dum-tragut2009,vayr- ,"“down”,",
Armenian,dum-tragut2009,ver- ,"“on, above, super-”,",
Armenian,dum-tragut2009,het-,"“re-, post-, after”,",
Armenian,dum-tragut2009,nax- ,"“fore-, pre-, proto”,",
Armenian,dum-tragut2009,ver- ,"“re-”,",
Bats,desheriev1953,чу,in,
Bats,desheriev1953,мак,on,
Bats,desheriev1953,хьала,"в значении русских глагольных приставок 'о’, 'об’: бопхба седлать* — хьахбопхба 'оседлать’;",
Bats,desheriev1953,дахь,"— в значении русских глагольных приставок 'от’, 'у и др: ваха 'итти’ — дахъваха 'уйти’, дахьгюб! 'уйди!’; далъа 'дать— дахь-дала 'отдать’;",
Bats,desheriev1953,нiъаи',out of,
Budukh,authier2016,(ʔ)A- ,‘inside a container’:,
Budukh,authier2016,ʕa- ,‘down’:,
Budukh,authier2016,ʕI- ,"‘against, in front’:",
Budukh,authier2016,qA- ,"‘out, up’:",
Budukh,authier2016,qI- ,‘on’:,
Budukh,authier2016,vA-,‘near’:,
Budukh,authier2016,çI- ,"‘under, up to’:",
Budukh,authier2016,çA- ,‘away’:,
Budukh,authier2016,yA- ,‘through’:,
Budukh,authier2016,"ha-, ç’a-",became opaque,
Budukh,authier2016,"-ç’a, -cA, -zA, -tA, -t’a, -t’t’a,",no clear semantic value,
Chechen,nichols2013,,,
Dargwa,abdullaev1954,,,
Dargwa,abdullaev1954,a,upwards,
Dargwa,abdullaev1954,"ка, кат, катх1ел, катх1елбях1","downwards, already",
Dargwa,abdullaev1954,"лаг, лагвях1",upwards,
Dargwa,abdullaev1954,"саб сат, сатх1ел, сатх1елбях1",here to,
Dargwa,abdullaev1954,ар,here from,
Dargwa,abdullaev1954,"бу, бе, бет, бетх1ел,бетс1ел, бетх1елбях1",there to,
Dargwa,abdullaev1954,бат,from,
Dargwa,abdullaev1954,"лу, ля","here, to me, to you",
Dargwa,abdullaev1954,"че, чеди, чебях1","on, up, over, upwards",
Dargwa,abdullaev1954,"у, уди, уб, убях1",under,
Dargwa,abdullaev1954,"гьа, гьаб, гьала, гьалабях1","in front of, forward",
Dargwa,abdullaev1954,"г1е, г1еб, г1ела, г1елабях1, г1елам",back(ward),
Dargwa,abdullaev1954,"г1ер, г1ергьи","behind,after",
Dargwa,abdullaev1954,"дура, дурасес",out(side) (наружу),
Dargwa,abdullaev1954,бух1на,in(side) (внутрь),
Dargwa,abdullaev1954,"урга, ургар, ургабухъес",to/from/in the middle,
Dargwa,abdullaev1954,ахъ,upwards,
Dargwa,abdullaev1954,г1яш,"downwards,",
Dargwa,daniel2019,ar,away,
Dargwa,daniel2019,ka,down,
Dargwa,daniel2019,har-,highly idiomatized,
Dargwa,daniel2019,če-,surface,
Dargwa,daniel2019,q’a-,highly idiomatized,
Dargwa,sumbatovamutalov2003,,,
Dargwa,sumbatovamutalov2003,,,
Dargwa,magometov1963,"či, či-b, či-j",on,
Dargwa,magometov1963,"wi, wi-b, wi-j",under,
Dargwa,magometov1963,"ta, ta-b, tē",in front of,
Dargwa,magometov1963,"biš, biš-i-b, biš-i-j",among,
Dargwa,magometov1963,"bēn, bēn-i-b bēn-i-j",inside,
Dargwa,magometov1963,"kwi, kwi-b, kwi-j",in hands,
Dargwa,magometov1963,ka,downwards,
Dargwa,magometov1963,ha,upwards,
Dargwa,magometov1963,sa,to the speaker (horizontally),
Dargwa,magometov1963,bi,from to speaker (horizontally),clitic
Ingush,nichols2011,dwa,- away from speaker,clitic
Ingush,nichols2011,hwa- ,toward speaker,clitic
Ingush,nichols2011,hwal-,up,clitic
Ingush,nichols2011,wa- ,down,clitic
Ingush,nichols2011,t'y= ,"on, onto' ",clitic
Ingush,nichols2011,chy= ,"in, into'",clitic
Ingush,nichols2011,k'al,under,clitic 
Ingush,nichols2011,ura- ,"upright, upwards' ",
Ingush,nichols2011,c'a- ,home' ,
Ingush,nichols2011,ka- ,"hand; by hand, with the hand' ",
Ingush,nichols2011,gi- ,on the back',
Ingush,nichols2011,chaq- ,"across, through; finished, completely'",
Ingush,nichols2011,jixie- ,"near, close by'",
Ingush,nichols2011,t'ehwa- ,behind',
Ingush,nichols2011,duhwal- ,"toward, against, to meet'",
Ingush,nichols2011,aara ,out' ,adverbs that can be prefixes if the slot is available
Ingush,nichols2011,juxa ,"back; again, over, re",adverbs that can be prefixes if the slot is available
Ingush,nichols2011,uragh(a) ,"up, upwards' ",adverbs that can be prefixes if the slot is available
Ingush,nichols2011,laqie ,"above, up'",adverbs that can be prefixes if the slot is available
Ingush,nichols2011,loxie,"below, down'",adverbs that can be prefixes if the slot is available
Ingush,nichols2011,aarq'al ,face up',adverbs that can be prefixes if the slot is available
Khinalug,schulze2016,al- ,from above down to sb,
Khinalug,schulze2016,qal-,from below up to sb,
Khinalug,schulze2016,tʰal-,toward sb/sth on the same level,
Khinalug,schulze2016,kʰal,toward (general) sb/sth,
Khinalug,schulze2016,a-,from somewhere above sth,
Khinalug,schulze2016,za-,from somewhere below sth,
Khinalug,schulze2016,la-,from somewhere on the same level as sth,
Khinalug,schulze2016,ø,general,second position
Khinalug,schulze2016,-tər-,move separation from,second position
Khinalug,schulze2016,-χil,move integration into,second position
Khinalug,schulze2016,ʧ’(i)-,causative,second position
Kryz,authier2009,ˁu-/ˁa-,in,unproductive
Kryz,authier2009,ki-/ke,sub,unproductive
Kryz,authier2009,çi-/ ça-,sub,unproductive
Kryz,authier2009,ği-/ğa-,super,unproductive
